,Order,Family,Genus,Species,CommonName,TypeLocality
4824,rodentia,cricetidae,kunsia,tomentosus,Woolly Kunsia,"Brazil, SE area along the Río Uruguay (as restricted by Hershkovitz, 1966<i>c</i>:120)."
4828,rodentia,cricetidae,loxodontomys,micropus,Southern Pericote,"Argentina, Santa Cruz Prov., ""interior plains of Patagonia"" at 50°S latitude, near the Río Santa Cruz (probably near La Argentina as per Hershkovitz, 1962:392)."
5171,rodentia,muridae,lophuromys,dudui,Dudus Brush-furred Rat,"N Dem. Rep. Congo, Orientale (Haut-Zaïre), right bank Congo River near Kisangani, Masako Forest Reserve, ""rainforest of the Tshoporiver,"" 440 m, 00EE36'N, 25EE13'E (W. Verheyen et al., 2002:147)."
5174,rodentia,muridae,lophuromys,huttereri,Hutterers Brush-furred Rat,"N Dem. Rep. Congo, near village of Yaenero on left side of Congo River, 450 m (see W. Verheyen et al., 1996<i>a</i>, for additional information)."
5207,rodentia,muridae,dipodillus,rupicola,Rupicolous Dipodil,"Sahelian region of N Mali, 12 km east of Mopti, Emnalhere, right bank of main course of Niger River (14E28'26"" N, 04E05'16"" W); Granjon et al. (2002<i>a</i>) provided details of trap location and habitat."
5216,rodentia,muridae,gerbilliscus,boehmi,Boehms Gerbil,"Dem. Rep. Congo, Katanga Province, Marungu, Qua Mpala (see Ansell, 1978, and Hill and Carter, 1941, for placement of type locality in S Dem. Rep. Congo; it has also been identified as N Zambia [G. M. Allen, 1939; Bates, 1988])."
5217,rodentia,muridae,gerbilliscus,brantsii,Highveld Gerbil,"South Africa, Ladybrand, E Free State Province, near Lesotho border (see Meester et al., 1986, for details)."
5314,rodentia,muridae,taterillus,gracilis,Gracile Tateril,"Gambia (see Robbins, 1974)."
5316,rodentia,muridae,taterillus,lacustris,Lake Chad Tateril,"Nigeria, Lake Chad (= Kaddai)."
5317,rodentia,muridae,taterillus,petteri,Petters Tateril,"Burkina Faso (Upper Volta), Oudalan Province, near Oursi Pond; 14EE38'N, 00EE26'W (Sicard et al., 1988:188)."
5358,rodentia,muridae,apodemus,semotus,Taiwan Field Mouse,"Taiwan (M.-j. Yu, 1996)."
